"level0","level1","level2","Highest qualification","count"
"Level 5 or Level 6 Diploma(1)","Palmerston North","North Island general electorates","Male",1623
"Bachelor Degree and Level 7 Qualification","Palmerston North","North Island general electorates","Male",2376
"Post-graduate and Honours Degrees","Palmerston North","North Island general electorates","Male",558
"Masters Degree","Palmerston North","North Island general electorates","Male",672
"Doctorate Degree","Palmerston North","North Island general electorates","Male",579
"Overseas Secondary School Qualification","Palmerston North","North Island general electorates","Male",912
"Not Elsewhere Included(3)","Palmerston North","North Island general electorates","Male",2628
"No Qualification","Papakura","North Island general electorates","Male",5856
"Level 1 Certificate","Papakura","North Island general electorates","Male",2874
"Level 2 Certificate","Papakura","North Island general electorates","Male",2466
"Level 3 Certificate","Papakura","North Island general electorates","Male",2013
"Level 4 Certificate","Papakura","North Island general electorates","Male",3435
"Level 5 or Level 6 Diploma(1)","Papakura","North Island general electorates","Male",1860
"Bachelor Degree and Level 7 Qualification","Papakura","North Island general electorates","Male",1929
"Post-graduate and Honours Degrees","Papakura","North Island general electorates","Male",282
"Masters Degree","Papakura","North Island general electorates","Male",408
"Doctorate Degree","Papakura","North Island general electorates","Male",75
"Overseas Secondary School Qualification","Papakura","North Island general electorates","Male",1686
"Not Elsewhere Included(3)","Papakura","North Island general electorates","Male",3507
"No Qualification","Rangitikei","North Island general electorates","Male",6774
"Level 1 Certificate","Rangitikei","North Island general electorates","Male",3576
"Level 2 Certificate","Rangitikei","North Island general electorates","Male",2883
"Level 3 Certificate","Rangitikei","North Island general electorates","Male",1929
"Level 4 Certificate","Rangitikei","North Island general electorates","Male",3708
"Level 5 or Level 6 Diploma(1)","Rangitikei","North Island general electorates","Male",1653
"Bachelor Degree and Level 7 Qualification","Rangitikei","North Island general electorates","Male",1623
"Post-graduate and Honours Degrees","Rangitikei","North Island general electorates","Male",327
"Masters Degree","Rangitikei","North Island general electorates","Male",315
"Doctorate Degree","Rangitikei","North Island general electorates","Male",300
"Overseas Secondary School Qualification","Rangitikei","North Island general electorates","Male",696
"Not Elsewhere Included(3)","Rangitikei","North Island general electorates","Male",2796
"No Qualification","Rimutaka","North Island general electorates","Male",5283
"Level 1 Certificate","Rimutaka","North Island general electorates","Male",2958
"Level 2 Certificate","Rimutaka","North Island general electorates","Male",2658
"Level 3 Certificate","Rimutaka","North Island general electorates","Male",2049
"Level 4 Certificate","Rimutaka","North Island general electorates","Male",3894
"Level 5 or Level 6 Diploma(1)","Rimutaka","North Island general electorates","Male",1896
"Bachelor Degree and Level 7 Qualification","Rimutaka","North Island general electorates","Male",1968
"Post-graduate and Honours Degrees","Rimutaka","North Island general electorates","Male",417
"Masters Degree","Rimutaka","North Island general electorates","Male",495
"Doctorate Degree","Rimutaka","North Island general electorates","Male",174
"Overseas Secondary School Qualification","Rimutaka","North Island general electorates","Male",1146
"Not Elsewhere Included(3)","Rimutaka","North Island general electorates","Male",3192
"No Qualification","Rodney","North Island general electorates","Male",3912
"Level 1 Certificate","Rodney","North Island general electorates","Male",2673
"Level 2 Certificate","Rodney","North Island general electorates","Male",2424
"Level 3 Certificate","Rodney","North Island general electorates","Male",1803
"Level 4 Certificate","Rodney","North Island general electorates","Male",4080
"Level 5 or Level 6 Diploma(1)","Rodney","North Island general electorates","Male",1941
"Bachelor Degree and Level 7 Qualification","Rodney","North Island general electorates","Male",2148
"Post-graduate and Honours Degrees","Rodney","North Island general electorates","Male",441
"Masters Degree","Rodney","North Island general electorates","Male",477
"Doctorate Degree","Rodney","North Island general electorates","Male",150
"Overseas Secondary School Qualification","Rodney","North Island general electorates","Male",1608
"Not Elsewhere Included(3)","Rodney","North Island general electorates","Male",2220
"No Qualification","Rongotai","North Island general electorates","Male",2853
"Level 1 Certificate","Rongotai","North Island general electorates","Male",1644
"Level 2 Certificate","Rongotai","North Island general electorates","Male",2217
"Level 3 Certificate","Rongotai","North Island general electorates","Male",2607
"Level 4 Certificate","Rongotai","North Island general electorates","Male",2196
"Level 5 or Level 6 Diploma(1)","Rongotai","North Island general electorates","Male",1761
"Bachelor Degree and Level 7 Qualification","Rongotai","North Island general electorates","Male",4731
"Post-graduate and Honours Degrees","Rongotai","North Island general electorates","Male",1251
"Masters Degree","Rongotai","North Island general electorates","Male",1317
"Doctorate Degree","Rongotai","North Island general electorates","Male",384
"Overseas Secondary School Qualification","Rongotai","North Island general electorates","Male",1431
"Not Elsewhere Included(3)","Rongotai","North Island general electorates","Male",2235
"No Qualification","Rotorua","North Island general electorates","Male",6384
"Level 1 Certificate","Rotorua","North Island general electorates","Male",3405
"Level 2 Certificate","Rotorua","North Island general electorates","Male",2511
"Level 3 Certificate","Rotorua","North Island general electorates","Male",1839
"Level 4 Certificate","Rotorua","North Island general electorates","Male",4059
