"level0","level1","Legally registered relationship status(1)","count"
"Rotorua","North Island general electorates","Not Elsewhere Included(5)",8049
"Tamaki","North Island general electorates","Not Elsewhere Included(5)",4242
"Taranaki-King Country","North Island general electorates","Not Elsewhere Included(5)",4869
"Taupo","North Island general electorates","Not Elsewhere Included(5)",5592
"Tauranga","North Island general electorates","Not Elsewhere Included(5)",4161
"Te Atatu","North Island general electorates","Not Elsewhere Included(5)",5709
"Tukituki","North Island general electorates","Not Elsewhere Included(5)",6444
"Upper Harbour","North Island general electorates","Not Elsewhere Included(5)",4950
"Waikato","North Island general electorates","Not Elsewhere Included(5)",5913
"Wairarapa","North Island general electorates","Not Elsewhere Included(5)",4347
"Wellington Central","North Island general electorates","Not Elsewhere Included(5)",4308
"Whanganui","North Island general electorates","Not Elsewhere Included(5)",5994
"Whangarei","North Island general electorates","Not Elsewhere Included(5)",6087
"Christchurch Central","South Island general electorates","Not Elsewhere Included(5)",5151
"Christchurch East","South Island general electorates","Not Elsewhere Included(5)",4872
"Clutha-Southland","South Island general electorates","Not Elsewhere Included(5)",4878
"Dunedin North","South Island general electorates","Not Elsewhere Included(5)",4461
"Dunedin South","South Island general electorates","Not Elsewhere Included(5)",3498
"Ilam","South Island general electorates","Not Elsewhere Included(5)",3048
"Invercargill","South Island general electorates","Not Elsewhere Included(5)",4038
"Kaikoura","South Island general electorates","Not Elsewhere Included(5)",4050
"Nelson","South Island general electorates","Not Elsewhere Included(5)",3435
"Port Hills","South Island general electorates","Not Elsewhere Included(5)",3672
"Rangitata","South Island general electorates","Not Elsewhere Included(5)",3717
"Selwyn","South Island general electorates","Not Elsewhere Included(5)",2901
"Waimakariri","South Island general electorates","Not Elsewhere Included(5)",2637
"Waitaki","South Island general electorates","Not Elsewhere Included(5)",4143
"West Coast-Tasman","South Island general electorates","Not Elsewhere Included(5)",4485
"Wigram","South Island general electorates","Not Elsewhere Included(5)",4530
"Area Outside General Electorate","South Island general electorates","Not Elsewhere Included(5)",NA
