"level0","level1","level2","Age group and sex","count"
"0–4 Years","Selwyn","South Island general electorates","Male",1986
"5–9 Years","Selwyn","South Island general electorates","Male",2259
"10–14 Years","Selwyn","South Island general electorates","Male",2160
"15–19 Years","Selwyn","South Island general electorates","Male",2301
"20–24 Years","Selwyn","South Island general electorates","Male",1824
"25–29 Years","Selwyn","South Island general electorates","Male",1434
"30–34 Years","Selwyn","South Island general electorates","Male",1416
"35–39 Years","Selwyn","South Island general electorates","Male",1881
"40–44 Years","Selwyn","South Island general electorates","Male",2484
"45–49 Years","Selwyn","South Island general electorates","Male",2499
"50–54 Years","Selwyn","South Island general electorates","Male",2427
"55–59 Years","Selwyn","South Island general electorates","Male",2103
"60–64 Years","Selwyn","South Island general electorates","Male",1800
"65–69 Years","Selwyn","South Island general electorates","Male",1458
"70–74 Years","Selwyn","South Island general electorates","Male",1026
"75–79 Years","Selwyn","South Island general electorates","Male",600
"80–84 Years","Selwyn","South Island general electorates","Male",342
"85 Years And Over","Selwyn","South Island general electorates","Male",216
"18 Years And Over","Selwyn","South Island general electorates","Male",22482
"0–4 Years","Waimakariri","South Island general electorates","Male",1695
"5–9 Years","Waimakariri","South Island general electorates","Male",2010
"10–14 Years","Waimakariri","South Island general electorates","Male",2190
"15–19 Years","Waimakariri","South Island general electorates","Male",2034
"20–24 Years","Waimakariri","South Island general electorates","Male",1506
"25–29 Years","Waimakariri","South Island general electorates","Male",1179
"30–34 Years","Waimakariri","South Island general electorates","Male",1215
"35–39 Years","Waimakariri","South Island general electorates","Male",1584
"40–44 Years","Waimakariri","South Island general electorates","Male",2169
"45–49 Years","Waimakariri","South Island general electorates","Male",2298
"50–54 Years","Waimakariri","South Island general electorates","Male",2250
"55–59 Years","Waimakariri","South Island general electorates","Male",2001
"60–64 Years","Waimakariri","South Island general electorates","Male",1953
"65–69 Years","Waimakariri","South Island general electorates","Male",1659
"70–74 Years","Waimakariri","South Island general electorates","Male",1290
"75–79 Years","Waimakariri","South Island general electorates","Male",888
"80–84 Years","Waimakariri","South Island general electorates","Male",642
"85 Years And Over","Waimakariri","South Island general electorates","Male",378
"18 Years And Over","Waimakariri","South Island general electorates","Male",21759
"0–4 Years","Waitaki","South Island general electorates","Male",2025
"5–9 Years","Waitaki","South Island general electorates","Male",2037
"10–14 Years","Waitaki","South Island general electorates","Male",2079
"15–19 Years","Waitaki","South Island general electorates","Male",1872
"20–24 Years","Waitaki","South Island general electorates","Male",1341
"25–29 Years","Waitaki","South Island general electorates","Male",1371
"30–34 Years","Waitaki","South Island general electorates","Male",1506
"35–39 Years","Waitaki","South Island general electorates","Male",1848
"40–44 Years","Waitaki","South Island general electorates","Male",2118
"45–49 Years","Waitaki","South Island general electorates","Male",2232
"50–54 Years","Waitaki","South Island general electorates","Male",2457
"55–59 Years","Waitaki","South Island general electorates","Male",2430
"60–64 Years","Waitaki","South Island general electorates","Male",2379
"65–69 Years","Waitaki","South Island general electorates","Male",2172
"70–74 Years","Waitaki","South Island general electorates","Male",1731
"75–79 Years","Waitaki","South Island general electorates","Male",1098
"80–84 Years","Waitaki","South Island general electorates","Male",777
"85 Years And Over","Waitaki","South Island general electorates","Male",540
"18 Years And Over","Waitaki","South Island general electorates","Male",24558
"0–4 Years","West Coast-Tasman","South Island general electorates","Male",1923
"5–9 Years","West Coast-Tasman","South Island general electorates","Male",2094
"10–14 Years","West Coast-Tasman","South Island general electorates","Male",2163
"15–19 Years","West Coast-Tasman","South Island general electorates","Male",1845
"20–24 Years","West Coast-Tasman","South Island general electorates","Male",1446
"25–29 Years","West Coast-Tasman","South Island general electorates","Male",1338
"30–34 Years","West Coast-Tasman","South Island general electorates","Male",1338
"35–39 Years","West Coast-Tasman","South Island general electorates","Male",1725
"40–44 Years","West Coast-Tasman","South Island general electorates","Male",2199
"45–49 Years","West Coast-Tasman","South Island general electorates","Male",2409
"50–54 Years","West Coast-Tasman","South Island general electorates","Male",2610
"55–59 Years","West Coast-Tasman","South Island general electorates","Male",2553
"60–64 Years","West Coast-Tasman","South Island general electorates","Male",2316
"65–69 Years","West Coast-Tasman","South Island general electorates","Male",1950
"70–74 Years","West Coast-Tasman","South Island general electorates","Male",1410
"75–79 Years","West Coast-Tasman","South Island general electorates","Male",915
"80–84 Years","West Coast-Tasman","South Island general electorates","Male",576
"85 Years And Over","West Coast-Tasman","South Island general electorates","Male",408
"18 Years And Over","West Coast-Tasman","South Island general electorates","Male",23826
"0–4 Years","Wigram","South Island general electorates","Male",1920
"5–9 Years","Wigram","South Island general electorates","Male",1512
"10–14 Years","Wigram","South Island general electorates","Male",1473
"15–19 Years","Wigram","South Island general electorates","Male",2154
"20–24 Years","Wigram","South Island general electorates","Male",3513
"25–29 Years","Wigram","South Island general electorates","Male",2685
"30–34 Years","Wigram","South Island general electorates","Male",2358
"35–39 Years","Wigram","South Island general electorates","Male",1956
"40–44 Years","Wigram","South Island general electorates","Male",1977
"45–49 Years","Wigram","South Island general electorates","Male",1752
"50–54 Years","Wigram","South Island general electorates","Male",1767
"55–59 Years","Wigram","South Island general electorates","Male",1659
"60–64 Years","Wigram","South Island general electorates","Male",1404
"65–69 Years","Wigram","South Island general electorates","Male",1212
"70–74 Years","Wigram","South Island general electorates","Male",864
"75–79 Years","Wigram","South Island general electorates","Male",624
"80–84 Years","Wigram","South Island general electorates","Male",525
"85 Years And Over","Wigram","South Island general electorates","Male",477
"18 Years And Over","Wigram","South Island general electorates","Male",23898
"0–4 Years","Area Outside General Electorate","South Island general electorates","Male",NA
"5–9 Years","Area Outside General Electorate","South Island general electorates","Male",NA
"10–14 Years","Area Outside General Electorate","South Island general electorates","Male",NA
