"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Not elsewhere included(7)","Wellington Central","North Island general electorates","1 Year",NA
"Australia(3)","Whanganui","North Island general electorates","1 Year",57
"Pacific Islands(4)","Whanganui","North Island general electorates","1 Year",18
"United Kingdom and Ireland(5)","Whanganui","North Island general electorates","1 Year",45
"Europe (excluding United Kingdom and Ireland)","Whanganui","North Island general electorates","1 Year",6
"North America","Whanganui","North Island general electorates","1 Year",15
"Asia","Whanganui","North Island general electorates","1 Year",84
"Middle East and Africa","Whanganui","North Island general electorates","1 Year",21
"Other","Whanganui","North Island general electorates","1 Year",3
"Not elsewhere included(7)","Whanganui","North Island general electorates","1 Year",NA
"Australia(3)","Whangarei","North Island general electorates","1 Year",60
"Pacific Islands(4)","Whangarei","North Island general electorates","1 Year",33
"United Kingdom and Ireland(5)","Whangarei","North Island general electorates","1 Year",60
"Europe (excluding United Kingdom and Ireland)","Whangarei","North Island general electorates","1 Year",30
"North America","Whangarei","North Island general electorates","1 Year",45
"Asia","Whangarei","North Island general electorates","1 Year",120
"Middle East and Africa","Whangarei","North Island general electorates","1 Year",45
"Other","Whangarei","North Island general electorates","1 Year",3
"Not elsewhere included(7)","Whangarei","North Island general electorates","1 Year",NA
"Australia(3)","Christchurch Central","South Island general electorates","1 Year",45
"Pacific Islands(4)","Christchurch Central","South Island general electorates","1 Year",42
"United Kingdom and Ireland(5)","Christchurch Central","South Island general electorates","1 Year",303
"Europe (excluding United Kingdom and Ireland)","Christchurch Central","South Island general electorates","1 Year",81
"North America","Christchurch Central","South Island general electorates","1 Year",48
"Asia","Christchurch Central","South Island general electorates","1 Year",342
"Middle East and Africa","Christchurch Central","South Island general electorates","1 Year",48
"Other","Christchurch Central","South Island general electorates","1 Year",27
"Not elsewhere included(7)","Christchurch Central","South Island general electorates","1 Year",NA
"Australia(3)","Christchurch East","South Island general electorates","1 Year",33
"Pacific Islands(4)","Christchurch East","South Island general electorates","1 Year",21
"United Kingdom and Ireland(5)","Christchurch East","South Island general electorates","1 Year",93
"Europe (excluding United Kingdom and Ireland)","Christchurch East","South Island general electorates","1 Year",21
"North America","Christchurch East","South Island general electorates","1 Year",15
"Asia","Christchurch East","South Island general electorates","1 Year",81
"Middle East and Africa","Christchurch East","South Island general electorates","1 Year",18
"Other","Christchurch East","South Island general electorates","1 Year",6
"Not elsewhere included(7)","Christchurch East","South Island general electorates","1 Year",NA
"Australia(3)","Clutha-Southland","South Island general electorates","1 Year",93
"Pacific Islands(4)","Clutha-Southland","South Island general electorates","1 Year",18
"United Kingdom and Ireland(5)","Clutha-Southland","South Island general electorates","1 Year",312
"Europe (excluding United Kingdom and Ireland)","Clutha-Southland","South Island general electorates","1 Year",105
"North America","Clutha-Southland","South Island general electorates","1 Year",51
"Asia","Clutha-Southland","South Island general electorates","1 Year",204
"Middle East and Africa","Clutha-Southland","South Island general electorates","1 Year",9
"Other","Clutha-Southland","South Island general electorates","1 Year",90
"Not elsewhere included(7)","Clutha-Southland","South Island general electorates","1 Year",NA
"Australia(3)","Dunedin North","South Island general electorates","1 Year",51
"Pacific Islands(4)","Dunedin North","South Island general electorates","1 Year",21
"United Kingdom and Ireland(5)","Dunedin North","South Island general electorates","1 Year",96
"Europe (excluding United Kingdom and Ireland)","Dunedin North","South Island general electorates","1 Year",54
"North America","Dunedin North","South Island general electorates","1 Year",66
"Asia","Dunedin North","South Island general electorates","1 Year",345
"Middle East and Africa","Dunedin North","South Island general electorates","1 Year",66
"Other","Dunedin North","South Island general electorates","1 Year",15
"Not elsewhere included(7)","Dunedin North","South Island general electorates","1 Year",NA
"Australia(3)","Dunedin South","South Island general electorates","1 Year",39
"Pacific Islands(4)","Dunedin South","South Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","Dunedin South","South Island general electorates","1 Year",75
"Europe (excluding United Kingdom and Ireland)","Dunedin South","South Island general electorates","1 Year",33
"North America","Dunedin South","South Island general electorates","1 Year",33
"Asia","Dunedin South","South Island general electorates","1 Year",75
"Middle East and Africa","Dunedin South","South Island general electorates","1 Year",6
"Other","Dunedin South","South Island general electorates","1 Year",15
"Not elsewhere included(7)","Dunedin South","South Island general electorates","1 Year",NA
"Australia(3)","Ilam","South Island general electorates","1 Year",36
"Pacific Islands(4)","Ilam","South Island general electorates","1 Year",21
"United Kingdom and Ireland(5)","Ilam","South Island general electorates","1 Year",171
"Europe (excluding United Kingdom and Ireland)","Ilam","South Island general electorates","1 Year",69
"North America","Ilam","South Island general electorates","1 Year",36
"Asia","Ilam","South Island general electorates","1 Year",372
"Middle East and Africa","Ilam","South Island general electorates","1 Year",54
"Other","Ilam","South Island general electorates","1 Year",24
"Not elsewhere included(7)","Ilam","South Island general electorates","1 Year",NA
"Australia(3)","Invercargill","South Island general electorates","1 Year",33
"Pacific Islands(4)","Invercargill","South Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","Invercargill","South Island general electorates","1 Year",57
"Europe (excluding United Kingdom and Ireland)","Invercargill","South Island general electorates","1 Year",15
"North America","Invercargill","South Island general electorates","1 Year",12
"Asia","Invercargill","South Island general electorates","1 Year",201
"Middle East and Africa","Invercargill","South Island general electorates","1 Year",24
"Other","Invercargill","South Island general electorates","1 Year",3
"Not elsewhere included(7)","Invercargill","South Island general electorates","1 Year",NA
"Australia(3)","Kaikoura","South Island general electorates","1 Year",30
"Pacific Islands(4)","Kaikoura","South Island general electorates","1 Year",18
"United Kingdom and Ireland(5)","Kaikoura","South Island general electorates","1 Year",129
"Europe (excluding United Kingdom and Ireland)","Kaikoura","South Island general electorates","1 Year",45
"North America","Kaikoura","South Island general electorates","1 Year",33
"Asia","Kaikoura","South Island general electorates","1 Year",99
"Middle East and Africa","Kaikoura","South Island general electorates","1 Year",6
"Other","Kaikoura","South Island general electorates","1 Year",15
"Not elsewhere included(7)","Kaikoura","South Island general electorates","1 Year",NA
"Australia(3)","Nelson","South Island general electorates","1 Year",39
"Pacific Islands(4)","Nelson","South Island general electorates","1 Year",9
"United Kingdom and Ireland(5)","Nelson","South Island general electorates","1 Year",96
"Europe (excluding United Kingdom and Ireland)","Nelson","South Island general electorates","1 Year",30
"North America","Nelson","South Island general electorates","1 Year",39
"Asia","Nelson","South Island general electorates","1 Year",150
"Middle East and Africa","Nelson","South Island general electorates","1 Year",33
"Other","Nelson","South Island general electorates","1 Year",6
"Not elsewhere included(7)","Nelson","South Island general electorates","1 Year",NA
"Australia(3)","Port Hills","South Island general electorates","1 Year",30
"Pacific Islands(4)","Port Hills","South Island general electorates","1 Year",12
"United Kingdom and Ireland(5)","Port Hills","South Island general electorates","1 Year",144
"Europe (excluding United Kingdom and Ireland)","Port Hills","South Island general electorates","1 Year",54
"North America","Port Hills","South Island general electorates","1 Year",36
