"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"United Kingdom and Ireland(5)","Tauranga","North Island general electorates","Less than 1 Year",117
"Europe (excluding United Kingdom and Ireland)","Tauranga","North Island general electorates","Less than 1 Year",54
"North America","Tauranga","North Island general electorates","Less than 1 Year",24
"Asia","Tauranga","North Island general electorates","Less than 1 Year",318
"Middle East and Africa","Tauranga","North Island general electorates","Less than 1 Year",45
"Other","Tauranga","North Island general electorates","Less than 1 Year",39
"Not elsewhere included(7)","Tauranga","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Te Atatu","North Island general electorates","Less than 1 Year",27
"Pacific Islands(4)","Te Atatu","North Island general electorates","Less than 1 Year",132
"United Kingdom and Ireland(5)","Te Atatu","North Island general electorates","Less than 1 Year",42
"Europe (excluding United Kingdom and Ireland)","Te Atatu","North Island general electorates","Less than 1 Year",42
"North America","Te Atatu","North Island general electorates","Less than 1 Year",15
"Asia","Te Atatu","North Island general electorates","Less than 1 Year",384
"Middle East and Africa","Te Atatu","North Island general electorates","Less than 1 Year",36
"Other","Te Atatu","North Island general electorates","Less than 1 Year",15
"Not elsewhere included(7)","Te Atatu","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Tukituki","North Island general electorates","Less than 1 Year",42
"Pacific Islands(4)","Tukituki","North Island general electorates","Less than 1 Year",153
"United Kingdom and Ireland(5)","Tukituki","North Island general electorates","Less than 1 Year",72
"Europe (excluding United Kingdom and Ireland)","Tukituki","North Island general electorates","Less than 1 Year",54
"North America","Tukituki","North Island general electorates","Less than 1 Year",30
"Asia","Tukituki","North Island general electorates","Less than 1 Year",183
"Middle East and Africa","Tukituki","North Island general electorates","Less than 1 Year",27
"Other","Tukituki","North Island general electorates","Less than 1 Year",48
"Not elsewhere included(7)","Tukituki","North Island general electorates","Less than 1 Year",NA
"Australia(3)","Upper Harbour","North Island general electorates","Less than 1 Year",24
"Pacific Islands(4)","Upper Harbour","North Island general electorates","Less than 1 Year",69
"United Kingdom and Ireland(5)","Upper Harbour","North Island general electorates","Less than 1 Year",63
"Europe (excluding United Kingdom and Ireland)","Upper Harbour","North Island general electorates","Less than 1 Year",33
"North America","Upper Harbour","North Island general electorates","Less than 1 Year",21
"Asia","Upper Harbour","North Island general electorates","Less than 1 Year",459
"Middle East and Africa","Upper Harbour","North Island general electorates","Less than 1 Year",96
"Other","Upper Harbour","North Island general electorates","Less than 1 Year",15
