"level0","level1","Total household income(1)","count"
"Coromandel","North Island general electorates","$25,001– $30,000",3930
"East Coast","North Island general electorates","$25,001– $30,000",4023
"East Coast Bays","North Island general electorates","$25,001– $30,000",1371
"Epsom","North Island general electorates","$25,001– $30,000",1080
"Hamilton East","North Island general electorates","$25,001– $30,000",2337
"Hamilton West","North Island general electorates","$25,001– $30,000",2421
"Helensville","North Island general electorates","$25,001– $30,000",1311
"Hunua","North Island general electorates","$25,001– $30,000",1842
"Hutt South","North Island general electorates","$25,001– $30,000",1800
"Kelston","North Island general electorates","$25,001– $30,000",1977
"Mana","North Island general electorates","$25,001– $30,000",1779
"Mangere","North Island general electorates","$25,001– $30,000",1488
"Manukau East","North Island general electorates","$25,001– $30,000",1896
"Manurewa","North Island general electorates","$25,001– $30,000",1872
"Maungakiekie","North Island general electorates","$25,001– $30,000",1782
"Mt Albert","North Island general electorates","$25,001– $30,000",1452
"Mt Roskill","North Island general electorates","$25,001– $30,000",1854
"Napier","North Island general electorates","$25,001– $30,000",3006
"New Lynn","North Island general electorates","$25,001– $30,000",1977
"New Plymouth","North Island general electorates","$25,001– $30,000",2589
"North Shore","North Island general electorates","$25,001– $30,000",1536
"Northcote","North Island general electorates","$25,001– $30,000",1674
"Northland","North Island general electorates","$25,001– $30,000",4494
"Ohariu","North Island general electorates","$25,001– $30,000",909
"Otaki","North Island general electorates","$25,001– $30,000",3558
"Pakuranga","North Island general electorates","$25,001– $30,000",1554
"Palmerston North","North Island general electorates","$25,001– $30,000",2676
"Papakura","North Island general electorates","$25,001– $30,000",2133
"Rangitikei","North Island general electorates","$25,001– $30,000",2730
"Rimutaka","North Island general electorates","$25,001– $30,000",2163
"Rodney","North Island general electorates","$25,001– $30,000",2337
"Rongotai","North Island general electorates","$25,001– $30,000",1407
"Rotorua","North Island general electorates","$25,001– $30,000",2913
"Tamaki","North Island general electorates","$25,001– $30,000",1128
"Taranaki-King Country","North Island general electorates","$25,001– $30,000",2322
"Taupo","North Island general electorates","$25,001– $30,000",3018
"Tauranga","North Island general electorates","$25,001– $30,000",2610
"Te Atatu","North Island general electorates","$25,001– $30,000",2190
"Tukituki","North Island general electorates","$25,001– $30,000",2880
"Upper Harbour","North Island general electorates","$25,001– $30,000",1548
"Waikato","North Island general electorates","$25,001– $30,000",2442
"Wairarapa","North Island general electorates","$25,001– $30,000",3270
"Wellington Central","North Island general electorates","$25,001– $30,000",1233
"Whanganui","North Island general electorates","$25,001– $30,000",3519
"Whangarei","North Island general electorates","$25,001– $30,000",3333
"Christchurch Central","South Island general electorates","$25,001– $30,000",2157
"Christchurch East","South Island general electorates","$25,001– $30,000",2223
"Clutha-Southland","South Island general electorates","$25,001– $30,000",2085
"Dunedin North","South Island general electorates","$25,001– $30,000",2490
"Dunedin South","South Island general electorates","$25,001– $30,000",2478
"Ilam","South Island general electorates","$25,001– $30,000",1626
"Invercargill","South Island general electorates","$25,001– $30,000",2571
"Kaikoura","South Island general electorates","$25,001– $30,000",2691
"Nelson","South Island general electorates","$25,001– $30,000",2592
"Port Hills","South Island general electorates","$25,001– $30,000",1845
"Rangitata","South Island general electorates","$25,001– $30,000",2577
"Selwyn","South Island general electorates","$25,001– $30,000",1395
"Waimakariri","South Island general electorates","$25,001– $30,000",1995
"Waitaki","South Island general electorates","$25,001– $30,000",2937
"West Coast-Tasman","South Island general electorates","$25,001– $30,000",2700
"Wigram","South Island general electorates","$25,001– $30,000",1971
"Area Outside General Electorate","South Island general electorates","$25,001– $30,000",NA
"Auckland Central","North Island general electorates","$30,001– $35,000",1563
"Bay of Plenty","North Island general electorates","$30,001– $35,000",3369
