"level0","level1","level2","Māori descent indicator(1) ","count"
"18 Years And Over","North Shore","North Island general electorates","Māori descent",2886
"0–4 Years","Northcote","North Island general electorates","Māori descent",780
"5–9 Years","Northcote","North Island general electorates","Māori descent",687
"10–14 Years","Northcote","North Island general electorates","Māori descent",615
"15–19 Years","Northcote","North Island general electorates","Māori descent",666
"20–24 Years","Northcote","North Island general electorates","Māori descent",585
"25–29 Years","Northcote","North Island general electorates","Māori descent",420
"30–34 Years","Northcote","North Island general electorates","Māori descent",453
"35–39 Years","Northcote","North Island general electorates","Māori descent",426
"40–44 Years","Northcote","North Island general electorates","Māori descent",438
"45–49 Years","Northcote","North Island general electorates","Māori descent",396
"50–54 Years","Northcote","North Island general electorates","Māori descent",321
"55–59 Years","Northcote","North Island general electorates","Māori descent",213
"60–64 Years","Northcote","North Island general electorates","Māori descent",162
"65–69 Years","Northcote","North Island general electorates","Māori descent",147
"70–74 Years","Northcote","North Island general electorates","Māori descent",84
"75–79 Years","Northcote","North Island general electorates","Māori descent",45
"80–84 Years","Northcote","North Island general electorates","Māori descent",30
"85 Years And Over","Northcote","North Island general electorates","Māori descent",12
"18 Years And Over","Northcote","North Island general electorates","Māori descent",4029
"0–4 Years","Northland","North Island general electorates","Māori descent",3105
"5–9 Years","Northland","North Island general electorates","Māori descent",3165
"10–14 Years","Northland","North Island general electorates","Māori descent",3255
"15–19 Years","Northland","North Island general electorates","Māori descent",2505
"20–24 Years","Northland","North Island general electorates","Māori descent",1674
"25–29 Years","Northland","North Island general electorates","Māori descent",1389
"30–34 Years","Northland","North Island general electorates","Māori descent",1356
"35–39 Years","Northland","North Island general electorates","Māori descent",1569
"40–44 Years","Northland","North Island general electorates","Māori descent",1734
"45–49 Years","Northland","North Island general electorates","Māori descent",1932
"50–54 Years","Northland","North Island general electorates","Māori descent",2010
"55–59 Years","Northland","North Island general electorates","Māori descent",1659
"60–64 Years","Northland","North Island general electorates","Māori descent",1329
"65–69 Years","Northland","North Island general electorates","Māori descent",1020
"70–74 Years","Northland","North Island general electorates","Māori descent",774
"75–79 Years","Northland","North Island general electorates","Māori descent",483
"80–84 Years","Northland","North Island general electorates","Māori descent",252
"85 Years And Over","Northland","North Island general electorates","Māori descent",153
"18 Years And Over","Northland","North Island general electorates","Māori descent",18138
"0–4 Years","Ohariu","North Island general electorates","Māori descent",612
"5–9 Years","Ohariu","North Island general electorates","Māori descent",606
"10–14 Years","Ohariu","North Island general electorates","Māori descent",558
"15–19 Years","Ohariu","North Island general electorates","Māori descent",474
"20–24 Years","Ohariu","North Island general electorates","Māori descent",426
"25–29 Years","Ohariu","North Island general electorates","Māori descent",345
"30–34 Years","Ohariu","North Island general electorates","Māori descent",372
"35–39 Years","Ohariu","North Island general electorates","Māori descent",423
"40–44 Years","Ohariu","North Island general electorates","Māori descent",399
"45–49 Years","Ohariu","North Island general electorates","Māori descent",363
"50–54 Years","Ohariu","North Island general electorates","Māori descent",282
"55–59 Years","Ohariu","North Island general electorates","Māori descent",189
"60–64 Years","Ohariu","North Island general electorates","Māori descent",147
"65–69 Years","Ohariu","North Island general electorates","Māori descent",96
"70–74 Years","Ohariu","North Island general electorates","Māori descent",72
"75–79 Years","Ohariu","North Island general electorates","Māori descent",30
"80–84 Years","Ohariu","North Island general electorates","Māori descent",12
"85 Years And Over","Ohariu","North Island general electorates","Māori descent",12
"18 Years And Over","Ohariu","North Island general electorates","Māori descent",3348
"0–4 Years","Otaki","North Island general electorates","Māori descent",1386
"5–9 Years","Otaki","North Island general electorates","Māori descent",1263
"10–14 Years","Otaki","North Island general electorates","Māori descent",1236
"15–19 Years","Otaki","North Island general electorates","Māori descent",1110
"20–24 Years","Otaki","North Island general electorates","Māori descent",810
"25–29 Years","Otaki","North Island general electorates","Māori descent",558
"30–34 Years","Otaki","North Island general electorates","Māori descent",552
"35–39 Years","Otaki","North Island general electorates","Māori descent",603
"40–44 Years","Otaki","North Island general electorates","Māori descent",741
"45–49 Years","Otaki","North Island general electorates","Māori descent",702
"50–54 Years","Otaki","North Island general electorates","Māori descent",684
"55–59 Years","Otaki","North Island general electorates","Māori descent",504
"60–64 Years","Otaki","North Island general electorates","Māori descent",426
"65–69 Years","Otaki","North Island general electorates","Māori descent",339
"70–74 Years","Otaki","North Island general electorates","Māori descent",264
"75–79 Years","Otaki","North Island general electorates","Māori descent",153
"80–84 Years","Otaki","North Island general electorates","Māori descent",87
"85 Years And Over","Otaki","North Island general electorates","Māori descent",60
