"level0","level1","level2","Māori descent indicator(1) ","count"
"35–39 Years","Napier","North Island general electorates","Māori descent",1041
"40–44 Years","Napier","North Island general electorates","Māori descent",1113
"45–49 Years","Napier","North Island general electorates","Māori descent",1005
"50–54 Years","Napier","North Island general electorates","Māori descent",1026
"55–59 Years","Napier","North Island general electorates","Māori descent",816
"60–64 Years","Napier","North Island general electorates","Māori descent",666
"65–69 Years","Napier","North Island general electorates","Māori descent",480
"70–74 Years","Napier","North Island general electorates","Māori descent",342
"75–79 Years","Napier","North Island general electorates","Māori descent",216
"80–84 Years","Napier","North Island general electorates","Māori descent",105
"85 Years And Over","Napier","North Island general electorates","Māori descent",66
"18 Years And Over","Napier","North Island general electorates","Māori descent",10521
"0–4 Years","New Lynn","North Island general electorates","Māori descent",582
"5–9 Years","New Lynn","North Island general electorates","Māori descent",504
"10–14 Years","New Lynn","North Island general electorates","Māori descent",471
"15–19 Years","New Lynn","North Island general electorates","Māori descent",537
"20–24 Years","New Lynn","North Island general electorates","Māori descent",450
"25–29 Years","New Lynn","North Island general electorates","Māori descent",348
"30–34 Years","New Lynn","North Island general electorates","Māori descent",327
"35–39 Years","New Lynn","North Island general electorates","Māori descent",345
"40–44 Years","New Lynn","North Island general electorates","Māori descent",318
"45–49 Years","New Lynn","North Island general electorates","Māori descent",321
"50–54 Years","New Lynn","North Island general electorates","Māori descent",300
"55–59 Years","New Lynn","North Island general electorates","Māori descent",204
"60–64 Years","New Lynn","North Island general electorates","Māori descent",129
"65–69 Years","New Lynn","North Island general electorates","Māori descent",102
"70–74 Years","New Lynn","North Island general electorates","Māori descent",105
"75–79 Years","New Lynn","North Island general electorates","Māori descent",51
"80–84 Years","New Lynn","North Island general electorates","Māori descent",36
"85 Years And Over","New Lynn","North Island general electorates","Māori descent",24
"18 Years And Over","New Lynn","North Island general electorates","Māori descent",3282
"0–4 Years","New Plymouth","North Island general electorates","Māori descent",1479
"5–9 Years","New Plymouth","North Island general electorates","Māori descent",1374
"10–14 Years","New Plymouth","North Island general electorates","Māori descent",1350
"15–19 Years","New Plymouth","North Island general electorates","Māori descent",1125
"20–24 Years","New Plymouth","North Island general electorates","Māori descent",888
"25–29 Years","New Plymouth","North Island general electorates","Māori descent",741
"30–34 Years","New Plymouth","North Island general electorates","Māori descent",714
"35–39 Years","New Plymouth","North Island general electorates","Māori descent",786
"40–44 Years","New Plymouth","North Island general electorates","Māori descent",810
"45–49 Years","New Plymouth","North Island general electorates","Māori descent",732
"50–54 Years","New Plymouth","North Island general electorates","Māori descent",672
"55–59 Years","New Plymouth","North Island general electorates","Māori descent",510
"60–64 Years","New Plymouth","North Island general electorates","Māori descent",399
"65–69 Years","New Plymouth","North Island general electorates","Māori descent",267
"70–74 Years","New Plymouth","North Island general electorates","Māori descent",198
"75–79 Years","New Plymouth","North Island general electorates","Māori descent",126
"80–84 Years","New Plymouth","North Island general electorates","Māori descent",87
"85 Years And Over","New Plymouth","North Island general electorates","Māori descent",48
"18 Years And Over","New Plymouth","North Island general electorates","Māori descent",7329
"0–4 Years","North Shore","North Island general electorates","Māori descent",465
"5–9 Years","North Shore","North Island general electorates","Māori descent",408
"10–14 Years","North Shore","North Island general electorates","Māori descent",438
"15–19 Years","North Shore","North Island general electorates","Māori descent",414
"20–24 Years","North Shore","North Island general electorates","Māori descent",450
"25–29 Years","North Shore","North Island general electorates","Māori descent",330
"30–34 Years","North Shore","North Island general electorates","Māori descent",234
"35–39 Years","North Shore","North Island general electorates","Māori descent",270
"40–44 Years","North Shore","North Island general electorates","Māori descent",303
"45–49 Years","North Shore","North Island general electorates","Māori descent",225
"50–54 Years","North Shore","North Island general electorates","Māori descent",258
"55–59 Years","North Shore","North Island general electorates","Māori descent",195
"60–64 Years","North Shore","North Island general electorates","Māori descent",177
"65–69 Years","North Shore","North Island general electorates","Māori descent",102
"70–74 Years","North Shore","North Island general electorates","Māori descent",75
"75–79 Years","North Shore","North Island general electorates","Māori descent",36
"80–84 Years","North Shore","North Island general electorates","Māori descent",30
"85 Years And Over","North Shore","North Island general electorates","Māori descent",24
