"level0","level1","level2","Languages spoken(1) (total responses)(2)","count"
"Female","45–49 Years","Te Tai Tokerau","Māori",630
"Male","50–54 Years","Te Tai Tokerau","Māori",537
"Female","50–54 Years","Te Tai Tokerau","Māori",639
"Male","55–59 Years","Te Tai Tokerau","Māori",414
"Female","55–59 Years","Te Tai Tokerau","Māori",552
"Male","60–64 Years","Te Tai Tokerau","Māori",384
"Female","60–64 Years","Te Tai Tokerau","Māori",453
"Male","65–69 Years","Te Tai Tokerau","Māori",339
"Female","65–69 Years","Te Tai Tokerau","Māori",378
"Male","70–74 Years","Te Tai Tokerau","Māori",297
"Female","70–74 Years","Te Tai Tokerau","Māori",297
"Male","75–79 Years","Te Tai Tokerau","Māori",174
"Female","75–79 Years","Te Tai Tokerau","Māori",234
"Male","80–84 Years","Te Tai Tokerau","Māori",81
"Female","80–84 Years","Te Tai Tokerau","Māori",141
"Male","85 Years And Over","Te Tai Tokerau","Māori",36
"Female","85 Years And Over","Te Tai Tokerau","Māori",93
"Male","0–4 Years","Te Tai Tonga","Māori",489
"Female","0–4 Years","Te Tai Tonga","Māori",498
"Male","5–9 Years","Te Tai Tonga","Māori",621
"Female","5–9 Years","Te Tai Tonga","Māori",594
"Male","10–14 Years","Te Tai Tonga","Māori",624
"Female","10–14 Years","Te Tai Tonga","Māori",729
"Male","15–19 Years","Te Tai Tonga","Māori",747
"Female","15–19 Years","Te Tai Tonga","Māori",795
"Male","20–24 Years","Te Tai Tonga","Māori",702
"Female","20–24 Years","Te Tai Tonga","Māori",720
"Male","25–29 Years","Te Tai Tonga","Māori",522
"Female","25–29 Years","Te Tai Tonga","Māori",567
"Male","30–34 Years","Te Tai Tonga","Māori",486
"Female","30–34 Years","Te Tai Tonga","Māori",618
"Male","35–39 Years","Te Tai Tonga","Māori",474
"Female","35–39 Years","Te Tai Tonga","Māori",585
"Male","40–44 Years","Te Tai Tonga","Māori",507
"Female","40–44 Years","Te Tai Tonga","Māori",570
"Male","45–49 Years","Te Tai Tonga","Māori",492
"Female","45–49 Years","Te Tai Tonga","Māori",483
"Male","50–54 Years","Te Tai Tonga","Māori",432
"Female","50–54 Years","Te Tai Tonga","Māori",474
"Male","55–59 Years","Te Tai Tonga","Māori",357
"Female","55–59 Years","Te Tai Tonga","Māori",351
"Male","60–64 Years","Te Tai Tonga","Māori",342
"Female","60–64 Years","Te Tai Tonga","Māori",270
"Male","65–69 Years","Te Tai Tonga","Māori",246
