"level0","level1","Occupied dwelling type","count"
"Waitaki","South Island general electorates","Other non–private dwellings(4)",540
"West Coast-Tasman","South Island general electorates","Other non–private dwellings(4)",735
"Wigram","South Island general electorates","Other non–private dwellings(4)",345
"Area Outside General Electorate","South Island general electorates","Other non–private dwellings(4)",NA
"Auckland Central","North Island general electorates","Occupied non–private dwelling not further defined(5)",6
"Bay of Plenty","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Botany","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Coromandel","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"East Coast","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"East Coast Bays","North Island general electorates","Occupied non–private dwelling not further defined(5)",12
"Epsom","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Hamilton East","North Island general electorates","Occupied non–private dwelling not further defined(5)",21
"Hamilton West","North Island general electorates","Occupied non–private dwelling not further defined(5)",9
"Helensville","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Hunua","North Island general electorates","Occupied non–private dwelling not further defined(5)",3
"Hutt South","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Kelston","North Island general electorates","Occupied non–private dwelling not further defined(5)",9
"Mana","North Island general electorates","Occupied non–private dwelling not further defined(5)",3
"Mangere","North Island general electorates","Occupied non–private dwelling not further defined(5)",15
"Manukau East","North Island general electorates","Occupied non–private dwelling not further defined(5)",24
"Manurewa","North Island general electorates","Occupied non–private dwelling not further defined(5)",9
"Maungakiekie","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Mt Albert","North Island general electorates","Occupied non–private dwelling not further defined(5)",12
"Mt Roskill","North Island general electorates","Occupied non–private dwelling not further defined(5)",6
"Napier","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"New Lynn","North Island general electorates","Occupied non–private dwelling not further defined(5)",12
"New Plymouth","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"North Shore","North Island general electorates","Occupied non–private dwelling not further defined(5)",9
"Northcote","North Island general electorates","Occupied non–private dwelling not further defined(5)",3
"Northland","North Island general electorates","Occupied non–private dwelling not further defined(5)",6
"Ohariu","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Otaki","North Island general electorates","Occupied non–private dwelling not further defined(5)",3
"Pakuranga","North Island general electorates","Occupied non–private dwelling not further defined(5)",6
"Palmerston North","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Papakura","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Rangitikei","North Island general electorates","Occupied non–private dwelling not further defined(5)",3
"Rimutaka","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Rodney","North Island general electorates","Occupied non–private dwelling not further defined(5)",39
"Rongotai","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Rotorua","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Tamaki","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Taranaki-King Country","North Island general electorates","Occupied non–private dwelling not further defined(5)",12
"Taupo","North Island general electorates","Occupied non–private dwelling not further defined(5)",12
"Tauranga","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Te Atatu","North Island general electorates","Occupied non–private dwelling not further defined(5)",12
"Tukituki","North Island general electorates","Occupied non–private dwelling not further defined(5)",3
"Upper Harbour","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
"Waikato","North Island general electorates","Occupied non–private dwelling not further defined(5)",6
"Wairarapa","North Island general electorates","Occupied non–private dwelling not further defined(5)",15
"Wellington Central","North Island general electorates","Occupied non–private dwelling not further defined(5)",0
